0.457592,0.037117,0.494709
0.016051,0.026753,0.042803
0.007625,0.023124,0.030749
0.004081,0.021257,0.025337
0.003453,0.020003,0.023456
0.002042,0.019068,0.021109
0.001688,0.018302,0.019989
0.001065,0.017635,0.018700
0.001526,0.017130,0.018655
0.001052,0.016720,0.017772
0.001576,0.016299,0.017875
0.000951,0.015979,0.016930
0.000935,0.015638,0.016573
0.001098,0.015450,0.016548
0.000842,0.015087,0.015930
0.000844,0.014850,0.015694
0.000995,0.014742,0.015737
0.000983,0.014590,0.015573
0.001019,0.014445,0.015464
0.001057,0.014239,0.015297
